allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
HLAB071001,anchor2_last,37,37,22,1.4231,1.4231,1.3801,3.02
HLAB15080101,anchor2_last,44,44,22,1.4229,1.4229,1.3558,4.71
HLAB15346,anchor2_last,54,54,24,1.3795,1.3795,1.3424,2.69
HLAA0267,anchor2_last,98,98,53,1.3327,1.3327,1.3405,-0.59
HLAA2403,anchor2_last,1204,1000,205,1.1816,1.1784,1.3137,-11.48
HLAA0229,anchor2_last,54,54,32,1.3599,1.3599,1.3122,3.51
HLAA2305,anchor2_last,41,41,18,1.3419,1.3419,1.2897,3.89
HLAA0238,anchor2_last,335,335,85,1.2827,1.2827,1.283,-0.02
HLAA24020101,anchor2_last,30482,1000,161,1.2869,1.2573,1.263,-0.45
HLAB0712,anchor2_last,23,23,9,1.2936,1.2936,1.2606,2.56
HLAC0608,anchor2_last,262,262,21,1.3069,1.3069,1.2577,3.76
HLAB4407,anchor2_last,332,332,10,0.8674,0.8674,1.2476,-43.84
HLAA3014,anchor2_last,12,12,6,1.204,1.204,1.2039,0.0
HLAB480201,anchor2_last,12,12,6,1.1756,1.1756,1.2039,-2.41
HLAA0216,anchor2_last,298,298,74,1.0372,1.0372,1.1753,-13.31
HLAB1503,anchor2_last,12077,1000,347,1.1325,1.2011,1.1593,3.48
HLAA2304,anchor2_last,17,17,11,1.0903,1.0903,1.1019,-1.07
HLAB270401,anchor2_last,2797,1000,52,1.0173,0.9993,1.0653,-6.61
HLAB44020101,anchor2_last,15832,1000,50,1.0195,1.0336,1.0027,2.99
HLAB2703,anchor2_last,1050,1000,24,0.9561,0.9556,0.937,1.95
HLAA3003,anchor2_last,13,13,8,0.8573,0.8573,0.9163,-6.88
HLAA6823,anchor2_last,71,71,33,0.9184,0.9184,0.9146,0.42
