allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
HLAA2425,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA2911,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA3108,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA3405,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB1580,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB1811,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB2714,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB39123,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB4021,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB5114,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC03130102,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC03179,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC040601,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0535,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0705,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0710,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC07130101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC0746,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
MAMUA1008010101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA0402,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA06010101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA0602,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRA11010101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB0301,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB1602,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB23010201,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
PATRB23020101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA10101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA11201,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA11502,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA21201,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA30301,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB50020101,anchor1_P2,92,92,60,2.7924,2.7924,2.911,-4.24
HLAB51060101,anchor1_P2,48,48,27,2.6095,2.6095,2.8373,-8.73
EQCA100101,anchor1_P2,23,23,14,2.5255,2.5255,2.7384,-8.43
HLAB35120101,anchor1_P2,29,29,12,2.7448,2.7448,2.7089,1.31
HLAB35220,anchor1_P2,42,42,12,2.4411,2.4411,2.7089,-10.97
HLAB8301,anchor1_P2,40,40,28,2.4178,2.4178,2.6889,-11.21
HLAB4404,anchor1_P2,33,33,20,2.4106,2.4106,2.6706,-10.79
HLAB0712,anchor1_P2,23,23,9,2.7003,2.7003,2.6469,1.98
HLAB351101,anchor1_P2,16,16,9,2.3938,2.3938,2.6469,-10.57
HLAB59010102,anchor1_P2,18,18,9,2.6469,2.6469,2.6469,0.0
HLAB510901,anchor1_P2,39,39,25,2.5486,2.5486,2.6288,-3.15
HLAA24200101,anchor1_P2,12,12,8,2.1587,2.1587,2.6189,-21.32
MAMUA1007010101,anchor1_P2,215,215,16,2.522,2.522,2.5323,-0.41
HLAB5504,anchor1_P2,35,35,19,2.4349,2.4349,2.4591,-0.99
BOLA301001,anchor1_P2,84,84,24,2.5657,2.5657,2.4514,4.45
HLAB1568,anchor1_P2,9,9,4,2.466,2.466,2.4333,1.32
HLAC0813,anchor1_P2,6,6,4,2.1281,2.1281,2.4333,-14.34
HLAB4413,anchor1_P2,14,14,10,2.344,2.344,2.3848,-1.74
HLAB4410,anchor1_P2,24,24,15,2.4296,2.4296,2.368,2.54
HLAB3523,anchor1_P2,4,4,3,2.4333,2.4333,2.3591,3.05
HLAB3911,anchor1_P2,4,4,3,2.3025,2.3025,2.3591,-2.46
PATRB160101,anchor1_P2,4,4,3,2.4333,2.4333,2.3591,3.05
HLAB40050101,anchor1_P2,1474,1000,269,2.4491,2.4416,2.3378,4.25
HLAB40030101,anchor1_P2,152,152,65,2.4223,2.4223,2.3313,3.76
HLAA2615,anchor1_P2,7,7,5,2.3974,2.3974,2.3227,3.12
MAMUA101101,anchor1_P2,404,404,175,2.3879,2.3879,2.3219,2.76
MAMUA201020101,anchor1_P2,30,30,9,2.3868,2.3868,2.312,3.13
BOLA204601,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
H2LQ,anchor1_P2,3,3,2,2.3591,2.3591,2.3025,2.4
HLAA01090101,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
HLAA0138,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
HLAA0210,anchor1_P2,4,4,2,1.9559,1.9559,2.3025,-17.72
HLAA3106,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
HLAA3213,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
